пакет,версия,лицензия,поставка
side-channel-weakmap,1.0.2,MIT,нет
simple-concat,1.0.1,MIT,да
simple-get,4.0.1,MIT,да
sonner,2.0.8,MIT,да
source-map,0.6.1,BSD-3-Clause,нет
source-map-js,1.2.1,BSD-3-Clause,да
source-map-support,0.5.21,MIT,нет
stable-hash,0.0.5,MIT,нет
stop-iteration-iterator,1.1.0,MIT,нет
string_decoder,1.3.0,MIT,да
string.prototype.includes,2.0.1,MIT,нет
string.prototype.matchall,4.1.0,MIT,нет
string.prototype.repeat,1.0.0,MIT,нет
string.prototype.trim,1.2.11,MIT,нет
string.prototype.trimend,1.0.10,MIT,нет
string.prototype.trimstart,1.0.8,MIT,нет
strip-bom,3.0.0,MIT,нет
strip-json-comments,2.0.1,MIT,да
strip-json-comments,3.1.1,MIT,да
styled-jsx,5.1.6,MIT,да
supports-color,7.2.0,MIT,нет
supports-preserve-symlinks-flag,1.0.0,MIT,нет
tailwind-merge,3.6.0,MIT,да
tailwindcss,4.2.1,MIT,нет
tapable,2.3.3,MIT,нет
tar-fs,2.1.5,MIT,да
tar-stream,2.2.0,MIT,да
tinyglobby,0.2.17,MIT,нет
to-regex-range,5.0.1,MIT,нет
ts-api-utils,2.5.0,MIT,нет
tsconfig-paths,3.15.0,MIT,нет
tslib,2.8.1,0BSD,да
tsx,4.23.13,MIT,нет
tunnel-agent,0.6.0,Apache-2.0,да
tw-animate-css,1.4.0,MIT,нет
type-check,0.4.0,MIT,нет
typed-array-buffer,1.0.3,MIT,нет
typed-array-byte-length,1.0.3,MIT,нет
typed-array-byte-offset,1.0.4,MIT,нет
typed-array-length,1.0.8,MIT,нет
typescript,5.9.3,Apache-2.0,нет
typescript-eslint,8.69.0,MIT,нет
uint8array-extras,1.5.0,MIT,да
unbox-primitive,1.1.0,MIT,нет
undici-types,6.21.0,MIT,нет
unrs-resolver,1.12.2,MIT,нет
update-browserslist-db,1.3.2,MIT,нет
uri-js,4.4.1,BSD-2-Clause,нет
use-callback-ref,1.3.3,MIT,да
use-sidecar,1.1.3,MIT,да
util-deprecate,1.0.2,MIT,да
which,2.0.2,ISC,нет
which-boxed-primitive,1.1.1,MIT,нет
which-builtin-type,1.2.1,MIT,нет
which-collection,1.0.2,MIT,нет
which-typed-array,1.1.22,MIT,нет
word-wrap,1.2.5,MIT,нет
wrappy,1.0.2,ISC,да
yallist,3.1.1,ISC,нет
yocto-queue,0.1.0,MIT,нет
zod,3.25.76,MIT,нет
zod-validation-error,4.0.2,MIT,нет
