пакет,версия,лицензия,поставка
@img/sharp-libvips-linux-arm,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-arm64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-ppc64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-riscv64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-s390x,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linux-x64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linuxmusl-arm64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-libvips-linuxmusl-x64,1.3.3,LGPL-3.0-or-later,да
@img/sharp-linux-arm,0.35.4,Apache-2.0,да
@img/sharp-linux-arm64,0.35.4,Apache-2.0,да
@img/sharp-linux-ppc64,0.35.4,Apache-2.0,да
@img/sharp-linux-riscv64,0.35.4,Apache-2.0,да
@img/sharp-linux-s390x,0.35.4,Apache-2.0,да
@img/sharp-linux-x64,0.35.4,Apache-2.0,да
@img/sharp-linuxmusl-arm64,0.35.4,Apache-2.0,да
@img/sharp-linuxmusl-x64,0.35.4,Apache-2.0,да
@img/sharp-wasm32,0.35.4,Apache-2.0 AND LGPL-3.0-or-later AND MIT,да
@img/sharp-webcontainers-wasm32,0.35.4,Apache-2.0,да
@img/sharp-win32-arm64,0.35.4,Apache-2.0 AND LGPL-3.0-or-later,да
@img/sharp-win32-ia32,0.35.4,Apache-2.0 AND LGPL-3.0-or-later,да
@img/sharp-win32-x64,0.35.4,Apache-2.0 AND LGPL-3.0-or-later,да
@jridgewell/gen-mapping,0.3.13,MIT,нет
@jridgewell/remapping,2.3.5,MIT,нет
@jridgewell/resolve-uri,3.1.2,MIT,нет
@jridgewell/sourcemap-codec,1.6.0,MIT,нет
@jridgewell/trace-mapping,0.3.31,MIT,нет
@napi-rs/wasm-runtime,1.2.3,MIT,нет
@next/env,16.3.6,MIT,да
@next/eslint-plugin-next,16.2.6,MIT,нет
@next/swc-darwin-arm64,16.3.6,MIT,да
@next/swc-darwin-x64,16.3.6,MIT,да
@next/swc-linux-arm64-gnu,16.3.6,MIT,да
@next/swc-linux-arm64-musl,16.3.6,MIT,да
@next/swc-linux-x64-gnu,16.3.6,MIT,да
@next/swc-linux-x64-musl,16.3.6,MIT,да
@next/swc-win32-arm64-msvc,16.3.6,MIT,да
@next/swc-win32-x64-msvc,16.3.6,MIT,да
@nodelib/fs.scandir,2.1.5,MIT,нет
@nodelib/fs.stat,2.0.5,MIT,нет
@nodelib/fs.walk,1.2.8,MIT,нет
@nolyfill/is-core-module,1.0.39,MIT,нет
@paper-design/shaders,0.0.80,Apache-2.0,да
@radix-ui/number,1.1.3,MIT,да
@radix-ui/primitive,1.1.7,MIT,да
@radix-ui/react-accessible-icon,1.1.15,MIT,да
@radix-ui/react-accordion,1.2.20,MIT,да
@radix-ui/react-alert-dialog,1.1.23,MIT,да
@radix-ui/react-arrow,1.1.15,MIT,да
@radix-ui/react-aspect-ratio,1.1.15,MIT,да
@radix-ui/react-avatar,1.2.6,MIT,да
@radix-ui/react-checkbox,1.3.11,MIT,да
@radix-ui/react-collapsible,1.1.20,MIT,да
@radix-ui/react-collection,1.1.15,MIT,да
@radix-ui/react-compose-refs,1.1.5,MIT,да
@radix-ui/react-context,1.2.2,MIT,да
@radix-ui/react-context-menu,2.3.7,MIT,да
@radix-ui/react-dialog,1.1.23,MIT,да
@radix-ui/react-direction,1.1.4,MIT,да
@radix-ui/react-dismissable-layer,1.1.19,MIT,да
@radix-ui/react-dropdown-menu,2.1.24,MIT,да
@radix-ui/react-focus-guards,1.1.6,MIT,да
@radix-ui/react-focus-scope,1.1.16,MIT,да
@radix-ui/react-form,0.1.16,MIT,да
@radix-ui/react-hover-card,1.1.23,MIT,да
@radix-ui/react-id,1.1.4,MIT,да
@radix-ui/react-label,2.1.15,MIT,да
@radix-ui/react-menu,2.1.24,MIT,да
@radix-ui/react-menubar,1.1.24,MIT,да
@radix-ui/react-navigation-menu,1.2.22,MIT,да
@radix-ui/react-one-time-password-field,0.1.16,MIT,да
@radix-ui/react-password-toggle-field,0.1.11,MIT,да
@radix-ui/react-popover,1.1.23,MIT,да
@radix-ui/react-popper,1.3.7,MIT,да
@radix-ui/react-portal,1.1.17,MIT,да
@radix-ui/react-presence,1.1.10,MIT,да
@radix-ui/react-primitive,2.1.10,MIT,да
@radix-ui/react-progress,1.1.16,MIT,да
@radix-ui/react-radio-group,1.4.7,MIT,да
@radix-ui/react-roving-focus,1.1.19,MIT,да
@radix-ui/react-scroll-area,1.2.18,MIT,да
@radix-ui/react-select,2.3.7,MIT,да
@radix-ui/react-separator,1.1.15,MIT,да
@radix-ui/react-slider,1.4.7,MIT,да
@radix-ui/react-slot,1.3.3,MIT,да
@radix-ui/react-switch,1.3.7,MIT,да
@radix-ui/react-tabs,1.1.21,MIT,да
@radix-ui/react-toast,1.2.23,MIT,да
@radix-ui/react-toggle,1.1.18,MIT,да
@radix-ui/react-toggle-group,1.1.19,MIT,да
@radix-ui/react-toolbar,1.1.19,MIT,да
@radix-ui/react-tooltip,1.2.16,MIT,да
@radix-ui/react-use-callback-ref,1.1.4,MIT,да
@radix-ui/react-use-controllable-state,1.2.6,MIT,да
@radix-ui/react-use-effect-event,0.0.5,MIT,да
@radix-ui/react-use-escape-keydown,1.1.5,MIT,да
@radix-ui/react-use-is-hydrated,0.1.3,MIT,да
@radix-ui/react-use-layout-effect,1.1.4,MIT,да
@radix-ui/react-use-previous,1.1.4,MIT,да
@radix-ui/react-use-rect,1.1.4,MIT,да
@radix-ui/react-use-size,1.1.4,MIT,да
@radix-ui/react-visually-hidden,1.2.11,MIT,да
@radix-ui/rect,1.1.3,MIT,да
@rtsao/scc,1.1.0,MIT,нет
@swc/helpers,0.5.23,Apache-2.0,да
@tailwindcss/node,4.2.1,MIT,нет
@tailwindcss/oxide,4.2.1,MIT,нет
@tailwindcss/oxide-android-arm64,4.2.1,MIT,нет
@tailwindcss/oxide-darwin-arm64,4.2.1,MIT,нет
@tailwindcss/oxide-darwin-x64,4.2.1,MIT,нет
@tailwindcss/oxide-freebsd-x64,4.2.1,MIT,нет
@tailwindcss/oxide-linux-arm-gnueabihf,4.2.1,MIT,нет
@tailwindcss/oxide-linux-arm64-gnu,4.2.1,MIT,нет
@tailwindcss/oxide-linux-arm64-musl,4.2.1,MIT,нет
@tailwindcss/oxide-linux-x64-gnu,4.2.1,MIT,нет
